Serial_number:
2093009
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
03/08/2018,12:00:00 pm,0,9.921,24.10
03/08/2018,12:05:00 pm,0,9.924,24.40
03/08/2018,12:10:00 pm,0,9.924,24.70
03/08/2018,12:15:00 pm,0,9.924,25.00
03/08/2018,12:20:00 pm,0,9.924,25.30
03/08/2018,12:25:00 pm,0,9.924,25.60
03/08/2018,12:30:00 pm,0,9.924,25.90
03/08/2018,12:35:00 pm,0,9.924,26.20
03/08/2018,12:40:00 pm,0,9.924,26.50
03/08/2018,12:45:00 pm,0,9.924,26.80
03/08/2018,12:50:00 pm,0,9.924,27.00
03/08/2018,12:55:00 pm,0,9.924,27.30
03/08/2018,01:00:00 pm,0,9.924,27.60
03/08/2018,01:05:00 pm,0,9.924,27.90
03/08/2018,01:10:00 pm,0,9.924,28.20
03/08/2018,01:15:00 pm,0,9.921,28.40
03/08/2018,01:20:00 pm,0,9.924,28.70
03/08/2018,01:25:00 pm,0,9.921,28.90
03/08/2018,01:30:00 pm,0,9.924,29.20
03/08/2018,01:35:00 pm,0,9.924,29.50
03/08/2018,01:40:00 pm,0,9.924,29.80
03/08/2018,01:45:00 pm,0,9.921,30.10
03/08/2018,01:50:00 pm,0,9.921,30.40
03/08/2018,01:55:00 pm,0,9.921,30.80
03/08/2018,02:00:00 pm,0,9.924,31.20
03/08/2018,02:05:00 pm,0,9.924,31.50
03/08/2018,02:10:00 pm,0,9.909,31.90
03/08/2018,02:15:00 pm,0,9.933,32.20
03/08/2018,02:20:00 pm,0,9.933,32.40
03/08/2018,02:25:00 pm,0,9.930,32.50
03/08/2018,02:30:00 pm,0,9.930,32.50
03/08/2018,02:35:00 pm,0,9.930,32.50
03/08/2018,02:40:00 pm,0,9.930,32.40
03/08/2018,02:45:00 pm,0,9.930,32.40
03/08/2018,02:50:00 pm,0,9.927,32.30
03/08/2018,02:55:00 pm,0,9.927,32.20
03/08/2018,03:00:00 pm,0,9.927,32.10
03/08/2018,03:05:00 pm,0,9.930,32.00
03/08/2018,03:10:00 pm,0,9.930,31.90
03/08/2018,03:15:00 pm,0,9.930,31.70
03/08/2018,03:20:00 pm,0,9.930,31.50
03/08/2018,03:25:00 pm,0,9.930,31.40
03/08/2018,03:30:00 pm,0,9.930,31.30
03/08/2018,03:35:00 pm,0,9.930,31.20
03/08/2018,03:40:00 pm,0,9.930,31.10
03/08/2018,03:45:00 pm,0,9.930,31.00
03/08/2018,03:50:00 pm,0,9.930,30.90
